sku;country;stock;last_update
D042630WW00;0;FR;2021-01-19 9:44:38
D042631WW00;0;FR;2021-01-19 9:44:38
D042665WW00;0;FR;2021-01-19 9:44:38
D042666WW00;0;FR;2021-01-19 9:44:38
D042669WW00;0;FR;2021-01-19 9:44:38
D042670WW00;0;FR;2021-01-19 9:44:38
D042702WW00;0;FR;2021-01-19 9:44:38
D042703WW00;0;FR;2021-01-19 9:44:38
D042709WW00;0;FR;2021-01-19 9:44:38
D042712WW00;0;FR;2021-01-19 9:44:38
D042715WW00;0;FR;2021-01-19 9:44:38
D042728WW00;0;FR;2021-01-19 9:44:38
D042771WW00;0;FR;2021-01-19 9:44:38
D042777WW00;0;FR;2021-01-19 9:44:38
D042780WW00;0;FR;2021-01-19 9:44:38
D042782WW00;0;FR;2021-01-19 9:44:38
D042788WW00;0;FR;2021-01-19 9:44:38
D042789WW00;0;FR;2021-01-19 9:44:38
D042791WW00;0;FR;2021-01-19 9:44:38
D042792WW00;0;FR;2021-01-19 9:44:38
D042796WW00;0;FR;2021-01-19 9:44:38
D042943WW00;0;FR;2021-01-19 9:44:38
D042946WW00;0;FR;2021-01-19 9:44:38
D042948WW00;0;FR;2021-01-19 9:44:38
D042949WW00;0;FR;2021-01-19 9:44:38
D042950WW00;0;FR;2021-01-19 9:44:38
D043146WW00;0;FR;2021-01-19 9:44:38
D043196WW00;0;FR;2021-01-19 9:44:38
D043198WW00;0;FR;2021-01-19 9:44:38
D043200WW00;0;FR;2021-01-19 9:44:38
D043201WW00;0;FR;2021-01-19 9:44:38
D043203WW00;0;FR;2021-01-19 9:44:38
D043204WW00;0;FR;2021-01-19 9:44:38
D043205WW00;0;FR;2021-01-19 9:44:38
D043390WW00;0;FR;2021-01-19 9:44:38
D043399WW00;0;FR;2021-01-19 9:44:38
D043403WW00;0;FR;2021-01-19 9:44:38
D043404WW00;0;FR;2021-01-19 9:44:38
D043405WW00;0;FR;2021-01-19 9:44:38
D043587WW00;0;FR;2021-01-19 9:44:38
D043588WW00;0;FR;2021-01-19 9:44:38
D043589WW00;0;FR;2021-01-19 9:44:38
D043607WW00;0;FR;2021-01-19 9:44:38
D043608WW00;0;FR;2021-01-19 9:44:38
D043609WW00;0;FR;2021-01-19 9:44:38
D043610WW00;0;FR;2021-01-19 9:44:38
D043611WW00;0;FR;2021-01-19 9:44:38
D043614WW00;0;FR;2021-01-19 9:44:38
D043615WW00;0;FR;2021-01-19 9:44:38
D043616WW00;0;FR;2021-01-19 9:44:38
D043617WW00;0;FR;2021-01-19 9:44:38
D043618WW00;0;FR;2021-01-19 9:44:38
D043619WW00;0;FR;2021-01-19 9:44:38
D043620WW00;0;FR;2021-01-19 9:44:38
D043621WW00;0;FR;2021-01-19 9:44:38
D043622WW00;0;FR;2021-01-19 9:44:38
D043623WW00;0;FR;2021-01-19 9:44:38
D043626WW00;0;FR;2021-01-19 9:44:38
D043627WW00;0;FR;2021-01-19 9:44:38
D043628WW00;0;FR;2021-01-19 9:44:38
D043629WW00;0;FR;2021-01-19 9:44:38
D043630WW00;0;FR;2021-01-19 9:44:38
D043631WW00;0;FR;2021-01-19 9:44:38
D043634WW00;0;FR;2021-01-19 9:44:38
D043635WW00;0;FR;2021-01-19 9:44:38
D043636WW00;0;FR;2021-01-19 9:44:38
D043637WW00;0;FR;2021-01-19 9:44:38
D043638WW00;0;FR;2021-01-19 9:44:38
D043639WW00;0;FR;2021-01-19 9:44:38
D043640WW00;0;FR;2021-01-19 9:44:38
D043641WW00;0;FR;2021-01-19 9:44:38
D043642WW00;0;FR;2021-01-19 9:44:38
D043643WW00;0;FR;2021-01-19 9:44:38
D043644WW00;0;FR;2021-01-19 9:44:38
