sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic;publication_status_atomic;publication_status_flat
H002217S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002217S 03;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002217S 05;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002218S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002218S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002218S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002249S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002249S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002305Z;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002340S 15;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002340S 17;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002340S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002340S 22;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 02;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 03;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 05;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 07;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 09;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 10;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 11;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002347S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002355S 01;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002355S 06;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002355S 07;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 08;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 11;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 12;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 14;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 15;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 17;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 20;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 21;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002374S 24;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 10;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 18;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 19;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 21;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 24;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 25;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 27;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 28;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 30;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 31;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 33;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002408S 34;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 13;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H002432S 14;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
